Model,Accuracy,Precision (macro),Recall (macro),F1-Score (macro),Train Time (s),Inference/1000 samples (ms)
Logistic Regression,0.9065145380934855,0.8980108265807394,0.8849430369235408,0.8899861981259524,1.4998762607574463,0.2800123982013566
Random Forest,0.9076186970923813,0.9102457228231452,0.8943121177377318,0.9005195197402607,2.2998600006103516,21.561744417563318
XGBoost,0.9385351490614648,0.9361686590640248,0.9235377385615424,0.9288332779426166,18.46819567680359,12.746487288603152
Landmark MLP,0.9389032020610968,0.930055784753101,0.9155683721438066,0.9207628427672004,14.20582365989685,13.741316670743165
